YoutubeURL,Title,Upload Date,Views,Likes,Dislikes,No. of Comments
https://www.youtube.com/watch?v=Q3Xjv03Qrtc,Rep. Alexandria Ocasio-Cortez's Full Response to Rep. Ted Yoho | NowThis,2020-07-23,1182337,63896,2159,13189
https://www.youtube.com/watch?v=yVgjx6Sw_CA,Kids Try MREs with Their Military Parents | Kids Try | HiHo Kids,2019-05-24,5173238,72716,1426,2870
https://www.youtube.com/watch?v=rWgMirS9CD4,Kid Explains School Lockdowns to her Dad | Kids Explain | HiHo Kids,2020-07-24,51468,2579,36,490
https://www.youtube.com/watch?v=VGst8vC7k6s,Clara and her Dad Try Bugs | Kids Try | HiHo,2020-07-21,82367,3937,68,427
https://www.youtube.com/watch?v=tzpuFI61mKA,Clara Explains the Internet to Her Grandfather | Kids Explain | HiHo Kids,2020-07-17,57820,3137,49,323
https://www.youtube.com/watch?v=OuHTU8T38ys,Kids Meet a Young Adult in Hospice | Kids Meet | HiHo Kids,2020-07-14,104956,4779,36,482
https://www.youtube.com/watch?v=xd-veKGoUFA,A Young Musician Explains Music to a Deaf Person | Kids Explain | HiHo Kids,2020-07-10,63433,2410,19,258
https://www.youtube.com/watch?v=iVWvyWU_d7Y,I Was Once Homeless | Kids Meet | HiHo Kids,2020-07-07,67361,2593,23,376
https://www.youtube.com/watch?v=xbWXXgzMZzc,Kids Explain Color to a Blind Person | Kids Explain | HiHo,2020-07-03,102927,3714,49,346
https://www.youtube.com/watch?v=HNzmZvYfS7U,Phoebe tries her Mom's pregnancy cravings | Kids Try | HiHo Kids,2020-06-30,139233,4459,47,329
https://www.youtube.com/watch?v=JcNCrrO59Rk,Kids Go on Field Trip to Funeral Home | No Whining | HiHo Kids,2020-06-26,73831,2409,56,357
https://www.youtube.com/watch?v=rUgw15AXLhk,Ethan Meets a Dating Coach | Kids Meet | HiHo Kids,2020-06-23,97439,3007,63,320
https://www.youtube.com/watch?v=-sTV5-q02xY,Kids Visit a Retirement Community | No Whining | HiHo Kids,2020-06-20,95175,1932,23,185
https://www.youtube.com/watch?v=0_-MD5v4z2w,Kids Describe Coronavirus to an Illustrator (Koji) | Kids Describe | HiHo Kids,2020-06-17,134202,3752,60,477
https://www.youtube.com/watch?v=xbe_Xzy8-PE,Jaxon and Braylen Try Their Dad's Dorm Room Food | Kids Try | HiHo Kids,2020-06-12,157736,4276,64,265
https://www.youtube.com/watch?v=DrqufuL6eD8,Black Parents Explain How to Deal with the Police | HiHo Kids,2020-06-09,96615,7288,194,1094
https://www.youtube.com/watch?v=C5vTrhXRujU,I Can't Breathe,2020-06-03,204566,15320,1091,3395
https://www.youtube.com/watch?v=Fm5b-8WYJis,Clara Tries Her Babysitter's Favorite Childhood Food | Kids Try | HiHo Kids,2020-06-02,264549,6940,62,333
https://www.youtube.com/watch?v=oY321NVSr-4,Kid decorates a tiny studio apartment | No Whining | HiHo Kids,2020-05-29,350521,2908,101,0
